raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
UASS 050107Z 30003MPS 9999 BKN///CB OVC/// 13/10 Q1003 NOSIG RMK QFE734/0979,UASS,2024-05-05T01:07:00Z,50.352,80.228,13,10,300,6,,6+,29.62,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,SPECI,215
EBFS 050107Z AUTO 24005KT 2100 BR SCT001/// BKN003/// BKN130/// 08/08 Q1009 RED,EBFS,2024-05-05T01:07:00Z,50.243,4.646,8,8,240,5,,1.3,29.79,,,TRUE,,,,,,,BR,SCT,100,BKN,300,BKN,13000,,,LIFR,,,,,,,,,,,,SPECI,276
CYER 050107Z AUTO 24009KT 6SM -RA BR FEW008 OVC013 02/02 A2972 RMK SLP068,CYER,2024-05-05T01:07:00Z,56.019,-87.675,2,2,240,9,,6,29.72,1006.8,,TRUE,,,,,,,-RA BR,FEW,800,OVC,1300,,,,,MVFR,,,,,,,,,,,,SPECI,11
PADM 050106Z AUTO 30006KT 10SM BKN032 BKN041 OVC048 06/M01 A2935 RMK AO2,PADM,2024-05-05T01:06:00Z,61.865,-162.033,6,-1,300,6,,10+,29.35,,,TRUE,TRUE,,,,,,,BKN,3200,BKN,4100,OVC,4800,,,VFR,,,,,,,,,,,,SPECI,17
KRAC 050106Z AUTO 13004KT 5SM BR FEW002 BKN060 OVC070 16/14 A2986 RMK AO2 LTG DSNT N RAE02 P0000 T01560144,KRAC,2024-05-05T01:06:00Z,42.7586,-87.8178,15.6,14.4,130,4,,5,29.86,,,TRUE,TRUE,,,,,,BR,FEW,200,BKN,6000,OVC,7000,,,MVFR,,,,,,0.005,,,,,,SPECI,203
KGRK 050106Z AUTO 09010KT 10SM BKN028 OVC041 22/22 A2981 RMK AO2 LTG DSNT W-N RAE06 BKN V OVC SLP086,KGRK,2024-05-05T01:06:00Z,31.0779,-97.8323,22,22,90,10,,10+,29.81,1008.6,,TRUE,TRUE,,,,,,,BKN,2800,OVC,4100,,,,,MVFR,,,,,,,,,,,,SPECI,311
CYBQ 050106Z AUTO 36008KT 310V020 9SM -SNRA -UP SCT009 BKN013 OVC023 01/M01 A2992 RMK SLP152,CYBQ,2024-05-05T01:06:00Z,58.707,-98.511,1,-1,360,8,,9,29.92,1015.2,,TRUE,,,,,,,-SN -RA UP,SCT,900,BKN,1300,OVC,2300,,,MVFR,,,,,,,,,,,,SPECI,272
RKJK 050105Z AUTO 13010KT 4SM -RA BR OVC019 20/18 A2982 RMK AO2 CIG 019V023 SLP102 $,RKJK,2024-05-05T01:05:00Z,35.9,126.618,20,18,130,10,,4,29.82,1010.2,,TRUE,TRUE,TRUE,,,,,-RA BR,OVC,1900,,,,,,,MVFR,,,,,,,,,,,,SPECI,8
RCKH 050105Z 18010KT 150V220 9999 FEW010TCU FEW016 SCT024 BKN140 30/25 Q1011 NOSIG RMK TCU W A2987,RCKH,2024-05-05T01:05:00Z,22.577,120.35,30,25,180,10,,6+,29.85,,,,,,TRUE,,,,,FEW,1000,FEW,1600,SCT,2400,BKN,14000,VFR,,,,,,,,,,,,SPECI,6
PPIZ 050105Z AUTO 04022KT 1 1/2SM -SN BR SCT018 OVC031 M12/M14 A3007 RMK AO2 PK WND 04026/0100 VIS 3/4V3 P0000 FZRANO,PPIZ,2024-05-05T01:05:00Z,69.735,-163.003,-12,-14,40,22,,1.5,30.07,,,TRUE,TRUE,,,,TRUE,,-SN BR,SCT,1800,OVC,3100,,,,,IFR,,,,,,0.005,,,,,,SPECI,5
KTVL 050105Z AUTO 17006KT 1/4SM +SN FZFG VV006 M03/M04 A2967 RMK AO2 P0001 T10331039,KTVL,2024-05-05T01:05:00Z,38.8984,-119.996,-3.3,-3.9,170,6,,0.25,29.67,,,TRUE,TRUE,,,,,,+SN FZFG,OVX,0,,,,,,,LIFR,,,,,,0.01,,,,,600,SPECI,1907
KTDZ 050105Z AUTO 05004KT 4SM -RA BR BKN033 BKN041 OVC050 18/16 A2990 RMK AO2 LTG DSNT SW TSE0059 P0002 T01830161,KTDZ,2024-05-05T01:05:00Z,41.5633,-83.4767,18.3,16.1,50,4,,4,29.90,,,TRUE,TRUE,,,,,,-RA BR,BKN,3300,BKN,4100,OVC,5000,,,MVFR,,,,,,0.02,,,,,,SPECI,189
KNLC 050105Z AUTO 34017G23KT 4SM -RA BR FEW006 BKN022 OVC027 11/10 A2987 RMK AO2 P0001 T01110100 $,KNLC,2024-05-05T01:05:00Z,36.3024,-119.94,11.1,10,340,17,23,4,29.87,,,TRUE,TRUE,TRUE,,,,,-RA BR,FEW,600,BKN,2200,OVC,2700,,,MVFR,,,,,,0.01,,,,,,SPECI,69
KNFE 050105Z AUTO 11003KT 10SM BKN028 BKN080 OVC110 19/15 A3016 RMK AO2 T01890150,KNFE,2024-05-05T01:05:00Z,36.701,-76.129,18.9,15,110,3,,10+,30.16,,,TRUE,TRUE,,,,,,,BKN,2800,BKN,8000,OVC,11000,,,MVFR,,,,,,,,,,,,SPECI,4
KMRB 050105Z AUTO 10004KT 10SM SCT007 OVC013 10/10 A3019 RMK AO2 T01000100,KMRB,2024-05-05T01:05:00Z,39.4037,-77.975,10,10,100,4,,10+,30.19,,,TRUE,TRUE,,,,,,,SCT,700,OVC,1300,,,,,MVFR,,,,,,,,,,,,SPECI,165
KMMT 050105Z AUTO 09003KT 5SM -RA BR OVC004 21/20 A3004 RMK AO2 CIG 004V006 SLP174 $,KMMT,2024-05-05T01:05:00Z,33.922,-80.802,21,20,90,3,,5,30.04,1017.4,,TRUE,TRUE,TRUE,,,,,-RA BR,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,76
KLPC 050105Z AUTO 23005KT 9SM -RA BKN016 OVC025 13/13 A2989 RMK AO2 P0000,KLPC,2024-05-05T01:05:00Z,34.6646,-120.464,13,13,230,5,,9,29.89,,,TRUE,TRUE,,,,,,-RA,BKN,1600,OVC,2500,,,,,MVFR,,,,,,0.005,,,,,,SPECI,26
KHLR 050105Z AUTO 11008KT 7SM -RA FEW023 BKN030 OVC039 23/22 A2982 RMK AO2 LTG DSNT W-N SLP090,KHLR,2024-05-05T01:05:00Z,31.1361,-97.7149,23,22,110,8,,7,29.82,1009,,TRUE,TRUE,,,,,,-RA,FEW,2300,BKN,3000,OVC,3900,,,MVFR,,,,,,,,,,,,SPECI,271
KGYY 050105Z 25004G24KT 4SM VCTS BR OVC044 20/20 A2986 RMK LTG DSNT ALQDS TS E0103 MOV E,KGYY,2024-05-05T01:05:00Z,41.6121,-87.4091,20,20,250,4,24,4,29.86,,,,,,,,,,VCTS BR,OVC,4400,,,,,,,MVFR,,,,,,,,,,,,SPECI,179
KAST 050105Z AUTO 28007KT 9SM -RA FEW018 BKN029 OVC046 10/08 A2965 RMK AO2 CIG 024 RWY 08 P0000 T01000083,KAST,2024-05-05T01:05:00Z,46.157,-123.883,10,8.3,280,7,,9,29.65,,,TRUE,TRUE,,,,,,-RA,FEW,1800,BKN,2900,OVC,4600,,,MVFR,,,,,,0.005,,,,,,SPECI,3
CYPH 050105Z AUTO 17014G20KT 9SM BKN008 BKN012 BKN047 OVC066 03/02 A2982 RMK SLP101,CYPH,2024-05-05T01:05:00Z,58.47,-78.08,3,2,170,14,20,9,29.82,1010.1,,TRUE,,,,,,,,BKN,800,BKN,1200,BKN,4700,OVC,6600,IFR,,,,,,,,,,,,SPECI,24
PAJC 050104Z AUTO 03005KT 10SM BKN029 OVC037 05/02 A2926 RMK AO2 RAE03 P0000 $,PAJC,2024-05-05T01:04:00Z,56.312,-158.374,5,2,30,5,,10+,29.26,,,TRUE,TRUE,TRUE,,,,,,BKN,2900,OVC,3700,,,,,MVFR,,,,,,0.005,,,,,,SPECI,10
